# Simulation 3 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 698 data points written for 54 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral a c celeration (m/s²),L atitude (°),L ongitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
8.1812,328.55,31.956,-13.159,31.957,13.159,-0.35095,-0.0051275,0.35099,-179.16,0.088997,0.005451,28.61,-80.6,9.7912,2.05E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.648,45.5,3.0295,0.094241,1474283,0,0.76605,0.64359,0.64359,0.2053,0.31714,0.12115,4.64E-05,3.42E-04,1.35E-04,0,0,0,0,0,0.0040916,5,19.635,89.841,-179.22,NaN,12.864,974.72,339.09,0.05,0.059068
8.2312,330.13,31.302,-13.025,31.302,13.025,-0.3554,-0.0051916,0.35543,-179.16,0.088737,0.0053518,28.61,-80.6,9.7912,2.13E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.647,45.5,3.0294,0.092312,1443904,0,0.7356,0.64423,0.64423,0.20613,0.31699,0.12111,4.81E-05,4.78E-04,3.83E-04,0,0,0,0,0,0.0040078,5,19.635,89.838,-179.22,NaN,12.854,974.53,339.09,0.05,0.059368
8.2812,331.68,30.654,-12.895,30.654,12.895,-0.35983,-0.0052553,0.35986,-179.16,0.088468,0.0053818,28.61,-80.6,9.7912,3.38E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.647,45.5,3.0293,0.090403,1413840,0,0.70607,0.64488,0.64488,0.20697,0.31685,0.12106,7.63E-05,6.93E-04,-4.06E-04,0,0,0,0,0,0.0039249,5,19.635,89.835,-179.18,NaN,12.844,974.35,339.08,0.05,0.059686
8.3312,333.2,30.012,-12.769,30.012,12.769,-0.36424,-0.0053185,0.36428,-179.16,0.0882,0.0052766,28.61,-80.6,9.7912,3.77E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.647,45.5,3.0293,0.088512,1384082,0,0.67742,0.64554,0.64554,0.20782,0.3167,0.12102,8.51E-05,2.37E-04,-8.04E-05,0,0,0,0,0,0.0038427,5,19.635,89.832,-179.16,NaN,12.834,974.17,339.08,0.05,0.059955
8.3812,334.68,29.377,-12.647,29.377,12.647,-0.36865,-0.0053816,0.36868,-179.16,0.087942,0.0050706,28.61,-80.6,9.7911,3.33E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.646,45.5,3.0292,0.08664,1354620,0,0.64964,0.64623,0.64623,0.20869,0.31656,0.12098,7.52E-05,6.57E-04,-1.48E-04,0,0,0,0,0,0.0037614,5,19.635,89.829,-179.13,NaN,12.825,974,339.07,0.05,0.060216
8.4312,336.14,28.748,-12.528,28.748,12.528,-0.37304,-0.0054447,0.37308,-179.16,0.087698,0.0048309,28.61,-80.6,9.7911,2.02E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.646,45.5,3.0291,0.084785,1325446,0,0.62269,0.64693,0.64693,0.20957,0.31642,0.12093,4.56E-05,-1.24E-04,3.45E-04,0,0,0,0,0,0.0036808,5,19.635,89.825,-179.14,NaN,12.815,973.83,339.06,0.05,0.060474
8.4812,337.56,28.124,-12.413,28.124,12.413,-0.37741,-0.0055076,0.37745,-179.16,0.087469,0.0047557,28.61,-80.6,9.7911,2.31E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.646,45.5,3.0291,0.082948,1296550,0,0.59656,0.64766,0.64766,0.21048,0.31629,0.12089,5.21E-05,5.89E-04,-4.51E-04,0,0,0,0,0,0.003601,5,19.635,89.822,-179.17,NaN,12.806,973.66,339.06,0.05,0.060876
8.5312,338.95,27.506,-12.302,27.506,12.302,-0.38178,-0.0055702,0.38182,-179.16,0.087232,0.0047416,28.61,-80.6,9.7911,3.92E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.645,45.5,3.029,0.081127,1267925,0,0.57121,0.6484,0.6484,0.21139,0.31615,0.12086,8.85E-05,2.86E-04,2.69E-04,0,0,0,0,0,0.0035219,5,19.635,89.819,-179.23,NaN,12.797,973.5,339.05,0.05,0.061261
8.5812,340.31,26.894,-12.194,26.894,12.194,-0.38614,-0.0056323,0.38618,-179.16,0.086996,0.004743,28.61,-80.6,9.7911,5.81E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.645,45.5,3.0289,0.079322,1239562,0,0.54663,0.64917,0.64917,0.21233,0.31602,0.12082,1.31E-04,3.93E-04,4.82E-04,0,0,0,0,0,0.0034435,5,19.635,89.815,-179.27,NaN,12.788,973.34,339.05,0.05,0.061535
8.6312,341.64,26.287,-12.089,26.287,12.089,-0.39048,-0.0056935,0.39052,-179.16,0.086759,0.0047549,28.61,-80.6,9.7911,7.64E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.645,45.5,3.0289,0.077533,1211454,0,0.5228,0.64996,0.64996,0.21328,0.31589,0.12078,1.72E-04,6.87E-04,-4.84E-04,0,0,0,0,0,0.0033657,5,19.635,89.812,-179.29,NaN,12.779,973.18,339.04,0.05,0.061799
8.6812,342.94,25.685,-11.988,25.685,11.988,-0.39481,-0.0057539,0.39485,-179.17,0.086523,0.0046464,28.61,-80.6,9.7911,7.86E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.644,45.5,3.0288,0.075758,1183592,0,0.49969,0.65077,0.65077,0.21426,0.31576,0.12075,1.77E-04,7.17E-04,-2.64E-04,0,0,0,0,0,0.0032887,5,19.635,89.808,-179.29,NaN,12.771,973.03,339.04,0.05,0.062081
8.7312,344.21,25.088,-11.889,25.088,11.889,-0.39913,-0.0058135,0.39917,-179.17,0.086296,0.0044834,28.61,-80.6,9.7911,7.15E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.644,45.5,3.0288,0.073999,1155969,0,0.47729,0.6516,0.6516,0.21526,0.31563,0.12071,1.61E-04,4.51E-05,-1.56E-04,0,0,0,0,0,0.0032122,5,19.635,89.804,-179.27,NaN,12.763,972.88,339.03,0.05,0.06234
8.7812,345.45,24.496,-11.794,24.496,11.794,-0.40344,-0.0058725,0.40348,-179.17,0.086076,0.0042959,28.61,-80.6,9.7911,6.10E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.644,45.5,3.0287,0.072254,1128577,0,0.45557,0.65246,0.65246,0.21627,0.31551,0.12068,1.38E-04,-3.49E-05,1.20E-04,0,0,0,0,0,0.0031364,5,19.635,89.799,-179.25,NaN,12.755,972.73,339.03,0.05,0.062609
8.8312,346.66,23.908,-11.701,23.909,11.701,-0.40774,-0.0059311,0.40778,-179.17,0.085866,0.004102,28.61,-80.6,9.7911,4.84E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.644,45.5,3.0287,0.070522,1101410,0,0.43452,0.65335,0.65335,0.21732,0.31538,0.12065,1.09E-04,-6.79E-05,2.31E-04,0,0,0,0,0,0.0030612,5,19.635,89.795,-179.23,NaN,12.747,972.59,339.02,0.05,0.06287
8.8812,347.84,23.326,-11.612,23.326,11.612,-0.41203,-0.0059894,0.41207,-179.17,0.085666,0.0039394,28.61,-80.6,9.7911,4.17E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.643,45.5,3.0286,0.068804,1074461,0,0.41413,0.65426,0.65426,0.21838,0.31526,0.12062,9.41E-05,6.08E-04,4.24E-04,0,0,0,0,0,0.0029866,5,19.635,89.79,-179.19,NaN,12.739,972.45,339.02,0.05,0.063154
8.9312,348.99,22.747,-11.525,22.747,11.525,-0.4163,-0.0060476,0.41635,-179.17,0.085472,0.0038374,28.61,-80.6,9.7911,4.83E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.643,45.5,3.0286,0.067099,1047722,0,0.39437,0.6552,0.6552,0.21948,0.31514,0.12059,1.09E-04,4.82E-04,2.28E-04,0,0,0,0,0,0.0029126,5,19.635,89.785,-179.15,NaN,12.732,972.32,339.01,0.05,0.063414
8.9812,350.11,22.173,-11.441,22.173,11.441,-0.42057,-0.006106,0.42062,-179.17,0.085281,0.0037926,28.61,-80.6,9.7911,6.10E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.643,45.5,3.0285,0.065406,1021187,0,0.37523,0.65618,0.65618,0.2206,0.31502,0.12056,1.38E-04,6.02E-04,-5.15E-06,0,0,0,0,0,0.002839,5,19.635,89.78,-179.13,NaN,12.724,972.19,339.01,0.05,0.063675
9.0312,351.21,21.603,-11.359,21.603,11.359,-0.42483,-0.0061646,0.42488,-179.17,0.085092,0.003781,28.61,-80.6,9.7911,7.91E-04,0,0,0,227.49,0,0.011396,3.23E-04,60.643,45.5,3.0285,0.063726,994850,0,0.35669,0.65718,0.65718,0.22175,0.3149,0.12053,1.78E-04,3.69E-04,-1.19E-04,0,0,0,0,0,0.0027661,5,19.635,89.775,-179.13,NaN,12.717,972.06,339.01,0.05,0.063999
9.0812,352.27,21.037,-11.28,21.037,11.28,-0.42908,-0.0062234,0.42913,-179.17,0.084903,0.0038021,28.61,-80.6,9.7911,0.0010444,0,0,0,227.49,0,0.011396,3.23E-04,60.642,45.5,3.0284,0.062057,968705,0,0.33875,0.65822,0.65822,0.22293,0.31479,0.1205,2.36E-04,9.56E-04,1.25E-04,0,0,0,0,0,0.0026936,5,19.635,89.77,-179.13,NaN,12.71,971.93,339,0.05,0.064278
9.1312,353.31,20.475,-11.204,20.475,11.204,-0.43332,-0.0062824,0.43337,-179.17,0.084712,0.0038154,28.61,-80.6,9.7911,0.0013129,0,0,0,227.49,0,0.011396,3.23E-04,60.642,45.5,3.0284,0.0604,942744,0,0.32138,0.65929,0.65929,0.22414,0.31467,0.12047,2.96E-04,6.44E-04,-2.90E-04,0,0,0,0,0,0.0026216,5,19.635,89.764,-179.14,NaN,12.703,971.81,339,0.05,0.064688
9.1812,354.32,19.917,-11.13,19.917,11.13,-0.43755,-0.0063414,0.4376,-179.17,0.084521,0.0038108,28.61,-80.6,9.7911,0.0015727,0,0,0,227.49,0,0.011396,3.23E-04,60.642,45.5,3.0283,0.058753,916963,0,0.30457,0.6604,0.6604,0.22539,0.31456,0.12045,3.55E-04,7.25E-04,-2.41E-04,0,0,0,0,0,0.0025502,5,19.635,89.758,-179.16,NaN,12.697,971.69,338.99,0.05,0.06496
9.2312,355.3,19.362,-11.058,19.362,11.058,-0.44177,-0.0064004,0.44182,-179.17,0.084332,0.0037871,28.61,-80.6,9.7911,0.0018185,0,0,0,227.49,0,0.011396,3.23E-04,60.642,45.5,3.0283,0.057118,891356,0,0.28832,0.66155,0.66155,0.22668,0.31445,0.12042,4.10E-04,0.0014099,2.68E-04,0,0,0,0,0,0.0024791,5,19.635,89.752,-179.2,NaN,12.691,971.58,338.99,0.05,0.065477
9.2812,356.26,18.811,-10.989,18.811,10.989,-0.44598,-0.0064591,0.44603,-179.17,0.084143,0.0037452,28.61,-80.6,9.7911,0.0020535,0,0,0,227.49,0,0.011396,3.23E-04,60.641,45.5,3.0282,0.055492,865916,0,0.2726,0.66275,0.66275,0.22801,0.31434,0.1204,4.63E-04,0.0018032,1.57E-05,0,0,0,0,0,0.0024086,5,19.635,89.746,-179.24,NaN,12.684,971.47,338.99,0.05,0.065968
9.3312,357.18,18.263,-10.923,18.263,10.923,-0.45019,-0.0065176,0.45023,-179.17,0.083958,0.0036869,28.61,-80.6,9.7911,0.0022697,0,0,0,227.49,0,0.011396,3.23E-04,60.641,45.5,3.0282,0.053877,840638,0,0.25741,0.66398,0.66398,0.22938,0.31423,0.12038,5.12E-04,0.0010924,-2.45E-04,0,0,0,0,0,0.0023384,5,19.635,89.739,-179.27,NaN,12.678,971.36,338.98,0.05,0.066305
9.3812,358.08,17.719,-10.858,17.719,10.858,-0.45438,-0.0065756,0.45443,-179.17,0.083775,0.0036414,28.61,-80.6,9.7911,0.0025405,0,0,0,227.49,0,0.011396,3.23E-04,60.641,45.5,3.0281,0.052271,815516,0,0.24274,0.66527,0.66527,0.23079,0.31412,0.12036,5.73E-04,0.0015008,2.84E-05,0,0,0,0,0,0.0022687,5,19.635,89.732,-179.29,NaN,12.672,971.25,338.98,0.05,0.066581
9.4312,358.96,17.177,-10.796,17.177,10.796,-0.45856,-0.006633,0.45861,-179.17,0.083594,0.0035902,28.61,-80.6,9.7911,0.0028141,0,0,0,227.49,0,0.011396,3.23E-04,60.641,45.5,3.0281,0.050675,790546,0,0.22857,0.6666,0.6666,0.23226,0.31401,0.12033,6.35E-04,0.0024029,2.06E-04,0,0,0,0,0,0.0021994,5,19.635,89.724,-179.31,NaN,12.667,971.15,338.97,0.05,0.066971
9.4813,359.8,16.639,-10.736,16.639,10.736,-0.46274,-0.0066899,0.46279,-179.17,0.083416,0.003541,28.61,-80.6,9.7911,0.0031102,0,0,0,227.49,0,0.011396,3.23E-04,60.64,45.5,3.028,0.049087,765722,0,0.21492,0.66804,0.66804,0.23377,0.31396,0.12031,7.02E-04,0.0020274,-4.00E-04,0,0,0,0,0,0.0021305,5,19.635,89.716,-179.31,NaN,12.661,971.05,338.97,0.05,0.067332
9.5313,360.62,16.104,-10.678,16.104,10.678,-0.4669,-0.0067463,0.46695,-179.17,0.08324,0.0035027,28.61,-80.6,9.7911,0.0034743,0,0,0,227.49,0,0.011396,3.23E-04,60.64,45.5,3.028,0.047509,741038,0,0.20176,0.66958,0.66958,0.23534,0.31394,0.12029,7.84E-04,0.0024965,-2.61E-04,0,0,0,0,0,0.0020619,5,19.635,89.707,-179.31,NaN,12.656,970.96,338.97,0.05,0.067745
9.5813,361.41,15.571,-10.622,15.571,10.622,-0.47106,-0.0068023,0.47111,-179.17,0.083066,0.0034811,28.61,-80.6,9.7911,0.0039404,0,0.18399,0.016334,227.49,0,0.011396,3.23E-04,60.64,45.5,3.0279,0.045938,716489,0,0.18907,0.67118,0.67118,0.23698,0.31392,0.12027,8.89E-04,0.0028091,1.73E-04,0,0,0,0,5.43E-06,0.0019938,5,19.635,89.698,-179.3,NaN,12.651,970.86,338.97,0.05,0.068039
9.6313,362.18,15.041,-10.568,15.042,10.568,-0.47521,-0.0068578,0.47526,-179.17,0.082892,0.0034815,28.61,-80.6,9.7911,0.0045505,0,0.19461,0.011488,227.49,0,0.011396,3.23E-04,60.639,45.5,3.0279,0.044376,692072,0,0.17685,0.67284,0.67284,0.23868,0.31391,0.12026,0.0010266,0.0035251,3.76E-04,0,0,0,0,6.51E-06,0.0019259,5,19.635,89.689,-179.29,NaN,12.646,970.77,338.96,0.05,0.068298
9.6813,362.92,14.514,-10.517,14.515,10.517,-0.47935,-0.006913,0.4794,-179.17,0.082717,0.0034988,28.61,-80.6,9.7911,0.0053114,0,0.20523,0.0060995,227.49,0,0.011396,3.23E-04,60.639,45.5,3.0278,0.042821,667779,0,0.16508,0.67458,0.67458,0.24044,0.31389,0.12024,0.0011983,0.0039328,-3.77E-04,0,0,0,0,7.78E-06,0.0018585,5,19.635,89.679,-179.27,NaN,12.641,970.69,338.96,0.05,0.068752
9.7313,363.63,13.99,-10.467,13.99,10.467,-0.48348,-0.0069679,0.48353,-179.17,0.082542,0.0035359,28.61,-80.6,9.7911,0.0062669,0,0.2174,0.0015206,227.49,0,0.011396,3.23E-04,60.639,45.5,3.0277,0.041274,643608,0,0.15377,0.67639,0.67639,0.24229,0.31388,0.12022,0.0014138,0.0041117,-7.76E-05,0,0,0,0,9.39E-06,0.0017913,5,19.635,89.668,-179.26,NaN,12.636,970.6,338.96,0.05,0.069104
9.7813,364.31,13.468,-10.419,13.468,10.419,-0.4876,-0.0070226,0.48765,-179.17,0.082364,0.0035899,28.61,-80.6,9.7911,0.0074396,0,0.22972,-0.0023564,227.49,0,0.011396,3.23E-04,60.638,45.5,3.0276,0.039734,619553,0,0.1429,0.67829,0.67829,0.24422,0.31387,0.12021,0.0016784,0.0050928,3.56E-04,0,0,0,0,1.13E-05,0.0017244,5,19.635,89.657,-179.24,NaN,12.632,970.52,338.95,0.05,0.069406
9.8313,364.98,12.948,-10.373,12.948,10.373,-0.49172,-0.0070771,0.49177,-179.18,0.082182,0.0036615,28.61,-80.6,9.7911,0.0088763,0,0.24354,-0.0055428,227.49,0,0.011396,3.23E-04,60.638,45.5,3.0275,0.0382,595610,0,0.13246,0.68028,0.68028,0.24624,0.31385,0.12019,0.0020025,0.005994,4.24E-04,0,0,0,0,1.38E-05,0.0016579,5,19.635,89.645,-179.22,NaN,12.628,970.44,338.95,0.05,0.069686
9.8813,365.61,12.43,-10.329,12.43,10.329,-0.49582,-0.0071315,0.49587,-179.18,0.081997,0.0037474,28.61,-80.6,9.7911,0.010612,0,0.25867,-0.0077509,227.49,0,0.011396,3.23E-04,60.637,45.5,3.0274,0.036674,571774,0,0.12245,0.68237,0.68237,0.24836,0.31384,0.12017,0.0023941,0.006944,2.38E-04,0,0,0,0,1.68E-05,0.0015916,5,19.635,89.633,-179.2,NaN,12.624,970.37,338.95,0.05,0.069967
9.9313,366.22,11.915,-10.287,11.915,10.287,-0.49992,-0.0071859,0.49997,-179.18,0.081807,0.0038465,28.61,-80.6,9.7911,0.012699,0,0.27556,-0.0094309,227.49,0,0.011396,3.23E-04,60.636,45.5,3.0272,0.035153,548040,0,0.11286,0.68458,0.68458,0.25059,0.31383,0.12016,0.002865,0.0090833,-3.23E-04,0,0,0,0,2.08E-05,0.0015256,5,19.635,89.619,-179.19,NaN,12.62,970.3,338.95,0.05,0.070267
9.9813,366.8,11.401,-10.247,11.402,10.247,-0.504,-0.0072402,0.50405,-179.18,0.081612,0.0039543,28.61,-80.6,9.791,0.015182,0,0.29427,-0.0099797,227.49,0,0.011396,3.23E-04,60.636,45.5,3.0271,0.033639,524405,0,0.10369,0.6869,0.6869,0.25294,0.31382,0.12015,0.0034252,0.010003,-1.75E-04,0,0,0,0,2.59E-05,0.0014599,5,19.635,89.605,-179.18,NaN,12.616,970.23,338.94,0.05,0.070535
10.031,367.36,10.89,-10.208,10.89,10.208,-0.50808,-0.0072945,0.50813,-179.18,0.081412,0.0040747,28.61,-80.6,9.791,0.018176,0,0.31428,-0.010217,227.49,0,0.011396,3.23E-04,60.635,45.5,3.0269,0.032131,500863,0,0.094932,0.68936,0.68936,0.25542,0.31381,0.12013,0.0041008,0.012421,3.18E-04,0,0,0,0,3.24E-05,0.0013944,5,19.635,89.59,-179.17,NaN,12.612,970.17,338.94,0.05,0.070844
10.081,367.89,10.381,-10.172,10.381,10.172,-0.51214,-0.0073488,0.51219,-179.18,0.081205,0.0042071,28.61,-80.6,9.791,0.021791,0,0.33638,-0.009278,227.49,0,0.011396,3.23E-04,60.633,45.5,3.0266,0.030628,477412,0,0.08658,0.69197,0.69197,0.25805,0.3138,0.12012,0.0049169,0.014863,4.22E-04,0,0,0,0,4.08E-05,0.0013292,5,19.635,89.574,-179.16,NaN,12.609,970.1,338.94,0.05,0.071126
10.131,368.4,9.8729,-10.137,9.8732,10.137,-0.5162,-0.0074031,0.51625,-179.18,0.080991,0.0043518,28.61,-80.6,9.791,0.02618,0,0.36029,-0.0084097,227.49,0,0.011396,3.23E-04,60.632,45.5,3.0264,0.02913,454045,0,0.078628,0.69474,0.69474,0.26085,0.31379,0.12011,0.0059076,0.017723,-3.31E-05,0,0,0,0,5.18E-05,0.0012642,5,19.635,89.556,-179.16,NaN,12.605,970.04,338.94,0.05,0.071406
10.181,368.88,9.3669,-10.103,9.3673,10.103,-0.52024,-0.0074573,0.52029,-179.18,0.08077,0.0045095,28.61,-80.6,9.791,0.031541,0,0.38673,-0.007141,227.49,0,0.011396,3.23E-04,60.63,45.5,3.026,0.027637,430760,0,0.071074,0.69771,0.69771,0.26383,0.31378,0.1201,0.0071178,0.021039,4.51E-04,0,0,0,0,6.63E-05,0.0011994,5,19.635,89.537,-179.16,NaN,12.602,969.99,338.94,0.05,0.07167
10.231,369.33,8.8625,-10.072,8.8629,10.072,-0.52427,-0.0075116,0.52433,-179.18,0.08054,0.0046812,28.61,-80.6,9.791,0.038137,0,0.4149,-0.0060035,227.49,0,0.011396,3.23E-04,60.628,45.5,3.0256,0.026149,407552,0,0.063914,0.70088,0.70088,0.26702,0.31377,0.12009,0.0086071,0.025706,-5.12E-05,0,0,0,0,8.52E-05,0.0011349,5,19.635,89.517,-179.16,NaN,12.599,969.93,338.93,0.05,0.071941
10.281,369.76,8.3597,-10.042,8.3601,10.042,-0.52829,-0.0075657,0.52835,-179.18,0.080301,0.0048668,28.61,-80.6,9.791,0.046306,0,0.446,-0.0048071,227.49,0,0.011396,3.23E-04,60.626,45.5,3.0252,0.024666,384417,0,0.057142,0.7043,0.7043,0.27046,0.31376,0.12008,0.010452,0.031064,-3.61E-04,0,0,0,0,1.11E-04,0.0010705,5,19.635,89.496,-179.17,NaN,12.597,969.88,338.93,0.05,0.072231
10.331,370.17,7.8583,-10.014,7.8587,10.014,-0.5323,-0.0076198,0.53236,-179.18,0.080053,0.005065,28.61,-80.6,9.791,0.056484,0,0.47935,-0.0032722,227.49,0,0.011396,3.23E-04,60.623,45.5,3.0246,0.023187,361350,0,0.050756,0.70799,0.70799,0.27416,0.31375,0.12007,0.012752,0.038052,7.28E-05,0,0,0,0,1.45E-04,0.0010063,5,19.635,89.473,-179.17,NaN,12.594,969.84,338.93,0.05,0.072535
10.381,370.55,7.3583,-9.9877,7.3587,9.9877,-0.5363,-0.0076738,0.53635,-179.18,0.079794,0.0052753,28.61,-80.6,9.791,0.069279,0,0.51525,-0.0019161,227.49,0,0.011396,3.23E-04,60.619,45.5,3.0238,0.021712,338349,0,0.044753,0.71199,0.712,0.27819,0.31374,0.12006,0.015644,0.047406,-4.81E-04,0,0,0,0,1.91E-04,9.42E-04,5,19.635,89.448,-179.18,NaN,12.591,969.79,338.93,0.05,0.0728
10.431,370.9,6.8595,-9.963,6.86,9.963,-0.54028,-0.0077276,0.54033,-179.18,0.079525,0.005495,28.61,-80.6,9.791,0.085483,0,0.55382,-9.27E-04,227.49,0,0.011396,3.23E-04,60.614,45.5,3.0228,0.02024,315408,0,0.039131,0.71637,0.71639,0.28258,0.31374,0.12005,0.019308,0.05852,-1.74E-05,0,0,0,0,2.53E-04,8.78E-04,5,19.635,89.421,-179.19,NaN,12.589,969.75,338.93,0.05,0.073107
10.481,371.24,6.3619,-9.9399,6.3624,9.9399,-0.54425,-0.0077813,0.5443,-179.18,0.079245,0.0057199,28.61,-80.6,9.791,0.10619,0,0.59522,-6.57E-05,227.49,0,0.011396,3.23E-04,60.608,45.5,3.0216,0.018772,292525,0,0.033886,0.72119,0.72122,0.28741,0.31373,0.12005,0.023993,0.071996,-2.47E-04,0,0,0,0,3.40E-04,8.15E-04,5,19.635,89.393,-179.2,NaN,12.587,969.71,338.93,0.05,0.073368
10.531,371.54,5.8655,-9.9185,5.866,9.9185,-0.5482,-0.0078348,0.54826,-179.18,0.078953,0.0059435,28.61,-80.6,9.791,0.13289,0,0.63913,7.54E-04,227.49,0,0.011396,3.23E-04,60.601,45.5,3.0201,0.017308,269695,0,0.029018,0.72653,0.72657,0.29276,0.31373,0.12004,0.030041,0.090045,-4.29E-04,0,0,0,0,4.62E-04,7.51E-04,5,19.635,89.362,-179.21,NaN,12.585,969.67,338.93,0.05,0.073641
10.581,371.82,5.3701,-9.8988,5.3706,9.8988,-0.55214,-0.0078881,0.5522,-179.18,0.078651,0.0061569,28.61,-80.6,9.791,0.16769,0,0.68582,0.0013013,227.49,0,0.011396,3.23E-04,60.591,45.5,3.0181,0.015846,246914,0,0.024524,0.7325,0.73256,0.29875,0.31372,0.12003,0.03793,0.1142,-2.33E-04,0,0,0,0,6.34E-04,6.88E-04,5,19.635,89.329,-179.22,NaN,12.583,969.64,338.92,0.05,0.073931
10.631,372.08,4.8756,-9.8806,4.8762,9.8806,-0.55607,-0.0079412,0.55612,-179.18,0.078338,0.0063472,28.61,-80.6,9.791,0.21359,0,0.73497,0.0017092,227.49,0,0.011396,3.23E-04,60.577,45.5,3.0154,0.014387,224178,0,0.020403,0.73925,0.73935,0.30551,0.31371,0.12003,0.048353,0.14507,-3.67E-05,0,0,0,0,8.83E-04,6.24E-04,5,19.635,89.293,-179.22,NaN,12.581,969.61,338.92,0.05,0.074193
10.681,372.31,4.382,-9.8642,4.3827,9.8642,-0.55998,-0.007994,0.56003,-179.18,0.078017,0.0064981,28.61,-80.6,9.791,0.27504,0,0.7863,0.0019225,227.49,0,0.011396,3.23E-04,60.56,45.5,3.0119,0.012931,201484,0,0.016655,0.74698,0.74715,0.31325,0.31371,0.12002,0.062332,0.18615,2.00E-04,0,0,0,0,0.0012518,5.61E-04,5,19.635,89.255,-179.23,NaN,12.58,969.58,338.92,0.05,0.074953
10.731,372.52,3.8891,-9.8493,3.8899,9.8493,-0.56387,-0.0080467,0.56393,-179.18,0.077689,0.0065881,28.61,-80.6,9.791,0.3588,0,0.83925,0.0020297,227.49,0,0.011396,3.23E-04,60.535,45.5,3.007,0.011477,178828,0,0.013281,0.75597,0.75627,0.32225,0.31371,0.12002,0.081437,0.24298,-4.38E-04,0,0,0,0,0.0018102,4.98E-04,5,19.635,89.214,-179.24,NaN,12.579,969.56,338.92,0.05,0.075266
10.781,372.7,3.397,-9.8361,3.3979,9.8361,-0.56774,-0.0080991,0.5678,-179.18,0.077359,0.00659,28.61,-80.6,9.791,0.47567,0,0.89324,0.0021471,227.49,0,0.011396,3.23E-04,60.502,45.5,3.0003,0.010026,156206,0,0.010279,0.76665,0.76718,0.33294,0.3137,0.12001,0.10819,0.32233,-3.23E-04,0,0,0,0,0.0026874,4.35E-04,5,19.635,89.171,-179.24,NaN,12.577,969.54,338.92,0.05,0.075548
10.831,372.86,2.9055,-9.8246,2.9065,9.8246,-0.5716,-0.0081513,0.57166,-179.18,0.077032,0.0064699,28.61,-80.6,9.791,0.64379,0,0.94725,0.0021593,227.49,0,0.011396,3.23E-04,60.454,45.5,2.9908,0.0085758,133615,0,0.0076532,0.77966,0.78064,0.34595,0.3137,0.12001,0.14686,0.43476,-3.35E-04,0,0,0,0,0.0041305,3.72E-04,5,19.635,89.125,-179.25,NaN,12.576,969.52,338.92,0.05,0.075829
10.881,372.99,2.4145,-9.8147,2.4157,9.8147,-0.57545,-0.0082032,0.5755,-179.18,0.076715,0.0061864,28.61,-80.6,9.791,0.89621,0,0.99991,0.0021035,227.49,0,0.011396,3.23E-04,60.383,45.5,2.9765,0.0071278,111053,0,0.0054043,0.79608,0.798,0.36237,0.3137,0.12001,0.20536,0.60504,3.94E-04,0,0,0,0,0.0066626,3.09E-04,5,19.635,89.076,-179.25,NaN,12.576,969.5,338.92,0.05,0.076098
